ZMon>3view
Index Name              Current Default Minimum Maximum Type defUserMin defUserMax userDef userMin userMax
 288  Sharpness_RGB          50      50       0     100 User          0        100      50       0     100
 289  ColorTemp_RGB           1       1       0       2 User          0          2       1       0       2
 290  Spatial_RGB             1       1       0       1 User          0          1       1       0       1
 291  Speckle_RGB             1       1       0       1 User          0          1       1       0       1
 292  Temporal_RGB            1       1       0       1 User          0          1       1       0       1
 293  Sharp_VGA_1            50      50       0   65535 User          0      65535      50       0   65535
 294  Sharp_VGA_2            50      50       0   65535 User          0      65535      50       0   65535
 295  Sharp_VGA_3            50      50       0   65535 User          0      65535      50       0   65535
 296  Sharp_VGA_4            50      50       0   65535 User          0      65535      50       0   65535
 297  EEParam_VGA_1     1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 298  EEParam_VGA_2     1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 299  EEParam_VGA_3     1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 300  EEParam_VGA_4     1212153856 1212153856       0 2147483647 User          0 2147483647 1212153856       0 2147483647
 301  Coeff1_VGA_1          107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 302  Coeff1_VGA_2          107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 303  Coeff1_VGA_3          107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 304  Coeff1_VGA_4          107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 305  Coeff2_VGA_1          107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 306  Coeff2_VGA_2          107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 307  Coeff2_VGA_3          107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 308  Coeff2_VGA_4          107     107       0 2147483647 User          0 2147483647     107       0 2147483647
 309  NR_VGA             607300  607300       0 2147483647 User          0 2147483647  607300       0 2147483647
 310  9938_VGA_Off      11243904 11243904       0 16777215 User          0   16777215 11243904       0 16777215
 311  9938_VGA_Gain     14470880 14470880       0 16777215 User          0   16777215 14470880       0 16777215
 312  RO_URANGE_VGA       10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 313  RO_FRANGE_VGA       10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 314  RO_DEFCUR_VGA     327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 315  GO_URANGE_VGA       10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 316  GO_FRANGE_VGA       10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 317  GO_DEFCUR_VGA     327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 318  BO_URANGE_VGA       10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 319  BO_FRANGE_VGA       10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 320  BO_DEFCUR_VGA     327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 321  RG_URANGE_VGA       10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 322  RG_FRANGE_VGA       10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
 323  RG_DEFCUR_VGA     327685000 327685000       0 2147483647 User          0 2147483647 327685000       0 2147483647
 324  GG_URANGE_VGA       10000   10000       0 2147483647 User          0 2147483647   10000       0 2147483647
