0x48687A28 IFAFE_SHIFTADC_REG
0x48687A2C IFAFE_SHIFTCORE0_REG
0x48687A30 IFAFE_SHIFTCORE1_REG
0x48687A40 IFAFE_SHMODE_REG
0x48687A44 IFAFE_SHOPTIONS_REG
0x48687A48 IFAFE_SHCONTROL_REG
0x48687A5C IFAFE_ADCMODE_REG
0x48687A64 IFAFE_ADCCONTROL1_REG
0x48687A70 IFAFE_ADCCOMMUTATE0_REG
0x48687A74 IFAFE_ADCCOMMUTATE1_REG
0x48687A78 IFAFE_ADCTEST_REG
0x48687A7C IFAFE_ADCMUX_REG
0x48687A90 IFAFE_VGA0_REG
0x48687A94 IFAFE_VGA1_REG
0x48687A98 IFAFE_VGA2_REG
0x48687A9C IFAFE_VGA3
0x48687AC0 IFAFE_CALOPTIONS0_REG
0x48687AC4 IFAFE_CALOPTIONS1_REG
0x48687AC8 IFAFE_CAL_T_AND_A_REG
0x48687ACC IFAFE_CAL_SECTION_REG
0x48687AD0 IFAFE_OUTPUT_OPTIONS_REG
0x48687AD8 IFAFE_CAL_TEST0_REG
0x48687ADC IFAFE_CAL_TEST1_REG
0x48687AE0 IFAFE_CAL_TEST2_REG
0x48687C00 CVD2_PVCI_LBESI
0x48687C04 CVD2_PVCI_LBEST
0x48687C08 CVD2_PVCI_LBEAD
0x48687C0C CVD2_PVCI_LBEAT
0x48687C10 CVD2_PVCI_LBBOM
0x48687C14 CVD2_PVCI_LBDIS
0x48687C18 CVD2_PVCI_LBWDI

0x4868E000 HDC_CTRL_REG
0x4868E004 HDC_STAT_REG
0x4868E008 HDC_INT_EN_REG
0x4868E00C HDC_INT_STAT_REG
0x4868E010 HDC_MIF_REG
0x4868E048 HDC_PIXCOUNT_REG
0x4868E04C HDC_PIXCOUNT_LINE_REG
0x4868E050 HDC_LINECOUNT_REG
0x4868E05C HDC_FIFO_CTRL_REG
0x4868E060 HDC_CFG_REG
0x4868E064 HDC_TOTAL_PIXEL_COUNT_REG
0x4868E068 HDC_HSYNC_VVLD_COUNT_REG
0x4868E06C HDC_TOTAL_VVLD_PIXEL_COUNT_REG
0x4868E070 HDC_XYLIMITS_REG
0x4868E070 LAST_BEETLE_REG
